Province/State,Country/Region,Lat,Long,January ,Feb,March,April,May,June,July
,Afghanistan,33.93911,67.709953,0,1,174,2171,15205,31517,36675
,Albania,41.1533,20.1683,0,0,243,773,1137,2535,5276
,Algeria,28.0339,1.6596,0,1,716,4006,9394,13907,30394
,Andorra,42.5063,1.5218,0,0,376,745,764,855,925
,Angola,-11.2027,17.8739,0,0,7,27,86,284,1148
,Antigua and Barbuda,17.0608,-61.7964,0,0,7,24,26,69,91
,Argentina,-38.4161,-63.6167,0,0,1054,4428,16851,64530,191302
,Armenia,40.0691,45.0382,0,0,532,2066,9282,25542,38550
Australian Capital Territory,Australia,-35.4735,149.0124,0,0,80,106,107,108,113
New South Wales,Australia,-33.8688,151.2093,4,4,2032,3025,3098,3203,3773
Northern Territory,Australia,-12.4634,130.8456,0,0,17,28,29,29,33
Queensland,Australia,-27.4698,153.0251,2,9,743,1033,1058,1067,1084
South Australia,Australia,-34.9285,138.6007,0,3,337,438,440,443,451
Tasmania,Australia,-42.8821,147.3272,0,0,69,221,228,228,229
Victoria,Australia,-37.8136,144.9631,3,7,917,1364,1653,2231,10931
Western Australia,Australia,-31.9505,115.8605,0,2,364,551,589,611,666
,Austria,47.5162,14.5501,0,9,10180,15452,16731,17766,21130
,Azerbaijan,40.1431,47.5769,0,0,298,1804,5494,17524,31878
,Bahamas,25.025885,-78.035889,0,0,14,81,102,104,574
,Bahrain,26.0275,50.55,0,41,567,3040,11398,26758,40982
,Bangladesh,23.685,90.3563,0,0,51,7667,47153,145483,237661
,Barbados,13.1939,-59.5432,0,0,34,81,92,97,110
,Belarus,53.7098,27.9534,0,1,152,14027,42556,62118,67808
,Belgium,50.8333,4.469936,0,1,12775,48519,58381,61427,68751
,Benin,9.3077,2.3158,0,0,9,64,232,1199,1805
,Bhutan,27.5142,90.4336,0,0,4,7,43,77,101
,Bolivia,-16.2902,-63.5887,0,0,107,1167,9982,33219,76789
,Bosnia and Herzegovina,43.9159,17.6791,0,0,420,1757,2510,4453,11876
,Brazil,-14.235,-51.9253,0,2,5717,87187,514849,1402041,2662485
,Brunei,4.5353,114.7277,0,0,129,138,141,141,141
,Bulgaria,42.7339,25.4858,0,0,399,1506,2513,4989,11690
,Burkina Faso,12.2383,-1.5616,0,0,261,645,847,962,1106
,Cabo Verde,16.5388,-23.0418,0,0,6,121,435,1227,2451
,Cambodia,11.55,104.9167,1,1,109,122,125,141,239
,Cameroon,3.848,11.5021,0,0,193,1832,5904,12592,17255
Alberta,Canada,53.9333,-116.5765,0,0,690,5355,7010,8108,10843
British Columbia,Canada,53.7267,-127.6476,1,8,1013,2112,2573,2916,3641
Grand Princess,Canada,0,0,0,0,13,13,13,13,13
Manitoba,Canada,53.7609,-98.8139,0,0,103,277,295,325,415
New Brunswick,Canada,46.5653,-66.4619,0,0,70,118,132,165,170
Newfoundland and Labrador,Canada,53.1355,-57.6604,0,0,152,258,261,261,266
Nova Scotia,Canada,44.682,-63.7443,0,0,147,947,1056,1062,1069
Ontario,Canada,51.2538,-85.3232,3,11,1966,17395,29390,36961,41178
Prince Edward Island,Canada,46.5107,-63.4168,0,0,21,27,27,27,36
Quebec,Canada,52.9399,-73.5491,0,1,4162,27550,51059,55458,59312
Saskatchewan,Canada,52.9399,-106.4509,0,0,184,389,646,785,1319
,Central African Republic,6.6111,20.9394,0,0,3,50,1011,3745,4608
,Chad,15.4542,18.7322,0,0,7,73,778,866,936
,Chile,-35.6751,-71.543,0,2,2844,17702,123550,279393,355667
Anhui,China,31.8257,117.2264,237,990,990,991,991,991,991
Beijing,China,40.1824,116.4142,139,411,580,593,593,922,933
Chongqing,China,30.0572,107.874,211,576,579,579,579,582,583
Fujian,China,26.0789,117.9874,120,296,343,356,358,363,366
Gansu,China,35.7518,104.2861,29,91,138,139,139,164,167
Guangdong,China,23.3417,113.4244,436,1349,1494,1588,1595,1641,1680
Guangxi,China,23.8298,108.7881,87,252,254,254,254,254,255
Guizhou,China,26.8154,106.8748,29,146,146,147,147,147,147
Hainan,China,19.1959,109.7453,52,168,168,168,169,171,171
Hebei,China,39.549,116.1306,82,318,321,328,328,349,349
Heilongjiang,China,47.862,127.7615,59,480,484,944,945,947,947
Henan,China,37.8957,114.9042,352,1272,1276,1276,1276,1276,1276
Hong Kong,China,22.3,114.2,12,95,714,1037,1084,1205,3272
Hubei,China,30.9756,112.2707,5806,66337,67801,68128,68135,68135,68135
Hunan,China,27.6104,111.7088,332,1018,1018,1019,1019,1019,1019
Inner Mongolia,China,44.0935,113.9448,20,75,107,201,235,238,258
Jiangsu,China,32.9711,119.455,168,631,646,653,653,654,655
Jiangxi,China,27.614,115.7221,240,935,937,937,937,932,932
Jilin,China,43.6661,126.1923,14,93,98,111,155,155,157
Liaoning,China,41.2956,122.6085,48,121,139,146,149,155,241
Macau,China,22.1667,113.55,7,10,41,45,45,46,46
Ningxia,China,37.2692,106.1655,21,73,75,75,75,75,75
Qinghai,China,35.7452,95.9956,8,18,18,18,18,18,18
Shaanxi,China,35.1917,108.8701,87,245,253,306,308,320,324
Shandong,China,36.3427,118.1498,184,756,774,787,792,792,799
Shanghai,China,31.202,121.4491,135,337,509,652,672,712,748
Shanxi,China,37.5777,112.2922,39,133,136,197,198,198,201
Sichuan,China,30.6171,102.7103,177,538,550,561,575,595,604
Tianjin,China,39.3054,117.323,32,136,174,190,192,198,205
Tibet,China,31.6927,88.0924,1,1,1,1,1,1,1
Xinjiang,China,41.1129,85.2401,17,76,76,76,76,76,639
Yunnan,China,24.974,101.487,83,174,182,185,185,185,191
Zhejiang,China,29.1832,120.0934,538,1205,1257,1268,1268,1269,1270
,Colombia,4.5709,-74.2973,0,0,906,6507,29383,97846,295508
,Congo (Brazzaville),-0.228,15.8277,0,0,19,220,611,1087,3200
,Congo (Kinshasa),-4.0383,21.7587,0,0,98,572,3070,7039,9070
,Costa Rica,9.7489,-83.7534,0,0,347,719,1056,3459,17820
,Cote d'Ivoire,7.54,-5.5471,0,0,179,1275,2833,9499,16047
,Croatia,45.1,15.2,0,6,867,2076,2246,2777,5139
,Diamond Princess,0,0,0,705,712,712,712,712,712
,Cuba,21.521757,-77.781167,0,0,186,1501,2045,2341,2608
,Cyprus,35.1264,33.4299,0,0,262,850,944,998,1114
,Czechia,49.8175,15.473,0,0,3308,7682,9268,11954,16574
Faroe Islands,Denmark,61.8926,-6.9118,0,0,169,187,187,187,225
Greenland,Denmark,71.7069,-42.6043,0,0,10,11,13,13,14
,Denmark,56.2639,9.5018,0,3,2860,9158,11669,12768,13789
,Djibouti,11.8251,42.5903,0,0,30,1089,3354,4682,5084
,Dominican Republic,18.7357,-70.1627,0,0,1109,6972,17285,32568,69649
,Ecuador,-1.8312,-78.1834,0,0,2240,24934,39098,56432,85355
,Egypt,26.820553,30.802498,0,1,710,5537,24985,68311,94078
,El Salvador,13.7942,-88.8965,0,0,32,395,2517,6438,16632
,Equatorial Guinea,1.6508,10.2679,0,0,12,315,1306,2001,4821
,Eritrea,15.1794,39.7823,0,0,15,39,39,203,279
,Estonia,58.5953,25.0136,0,1,745,1689,1869,1989,2064
,Eswatini,-26.5225,31.4659,0,0,9,100,285,812,2648
,Ethiopia,9.145,40.4897,0,0,26,131,1172,5846,17530
,Fiji,-17.7134,178.065,0,0,5,18,18,18,27
,Finland,61.92411,25.748151,1,3,1418,4995,6859,7214,7432
French Guiana,France,3.9339,-53.1258,0,0,43,126,499,4004,7799
French Polynesia,France,-17.6797,149.4068,0,0,36,58,60,62,62
Guadeloupe,France,16.265,-61.551,0,0,114,151,162,182,265
Mayotte,France,-12.8275,45.166244,0,0,94,539,1699,2603,2962
New Caledonia,France,-20.904305,165.618042,0,0,16,18,19,21,22
Reunion,France,-21.1151,55.5364,0,0,247,420,471,526,660
Saint Barthelemy,France,17.9,-62.8333,0,0,6,6,6,6,8
St Martin,France,18.0708,-63.0501,0,0,15,38,41,43,53
Martinique,France,14.6415,-61.0242,0,0,128,178,200,242,269
,France,46.2276,2.2137,5,100,52128,165764,185851,194373,213093
,Gabon,-0.8037,11.6094,0,0,16,276,2655,5394,7352
,Gambia,13.4432,-15.3101,0,0,4,11,25,49,498
,Georgia,42.3154,43.3569,0,1,110,539,783,928,1168
,Germany,51.165691,10.451526,5,79,71808,163009,183410,195418,210399
,Ghana,7.9465,-1.0232,0,0,161,2074,8070,17741,35501
,Greece,39.0742,21.8243,0,4,1314,2591,2917,3409,4477
,Guatemala,15.7835,-90.2308,0,0,38,599,5087,18096,49789
,Guinea,9.9456,-9.6966,0,0,22,1495,3706,5391,7308
,Guyana,4.860416,-58.93018,0,0,12,82,153,245,413
,Haiti,18.9712,-72.2852,0,0,15,81,2124,5975,7424
,Holy See,41.9029,12.4534,0,0,6,11,12,12,12
,Honduras,15.2,-86.2419,0,0,141,771,5202,19558,42014
,Hungary,47.1625,19.5033,0,0,492,2775,3876,4155,4505
,Iceland,64.9631,-19.0208,0,1,1135,1797,1806,1824,1885
,India,20.593684,78.96288,1,3,1397,34863,190609,585481,1695988
,Indonesia,-0.7893,113.9213,0,0,1528,10118,26473,56385,108376
,Iran,32.427908,53.688046,0,593,44605,94640,151466,227662,304204
,Iraq,33.223191,43.679291,0,13,694,2085,6439,49109,124609
,Ireland,53.1424,-7.6921,0,1,3235,20612,24990,25473,26065
,Israel,31.046051,34.851612,0,7,5358,15946,17071,25244,70970
,Italy,41.87194,12.56738,2,1128,105792,205463,232997,240578,247537
,Jamaica,18.1096,-77.2975,0,0,36,422,586,702,878
,Japan,36.204824,138.252924,15,245,2255,14284,16751,18615,36234
,Jordan,31.24,36.51,0,0,274,453,739,1132,1193
,Kazakhstan,48.0196,66.9237,0,0,343,3402,10858,22308,90367
,Kenya,-0.0236,37.9062,0,0,59,396,1962,6366,20636
,"Korea, South",35.907757,127.766922,11,3150,9786,10774,11503,12850,14336
,Kuwait,29.31166,47.481766,0,45,289,4024,27043,46195,66957
,Kyrgyzstan,41.20438,74.766098,0,0,107,746,1748,5506,35805
,Latvia,56.8796,24.6032,0,0,398,858,1066,1118,1231
,Lebanon,33.8547,35.8623,0,4,470,725,1220,1778,4555
,Liberia,6.428055,-9.429499,0,0,3,141,288,780,1186
,Liechtenstein,47.14,9.55,0,0,68,82,82,82,88
,Lithuania,55.1694,23.8813,0,1,537,1385,1675,1817,2075
,Luxembourg,49.8153,6.1296,0,1,2178,3784,4018,4299,6695
,Madagascar,-18.766947,46.869107,0,0,57,128,771,2214,10868
,Malaysia,4.210484,101.975766,8,25,2766,6002,7819,8639,8976
,Maldives,3.2028,73.2207,0,0,18,468,1773,2361,3793
,Malta,35.9375,14.3754,0,0,169,465,618,670,824
,Mauritania,21.0079,-10.9408,0,0,6,8,530,4363,6310
,Mauritius,-20.348404,57.552152,0,0,143,332,335,341,344
,Mexico,23.6345,-102.5528,0,4,1215,19224,90664,226089,424637
,Moldova,47.4116,28.3699,0,0,353,3897,8251,16613,24733
,Monaco,43.7333,7.4167,0,1,52,95,99,103,120
,Mongolia,46.8625,103.8467,0,0,12,38,179,220,291
,Montenegro,42.708678,19.37439,0,0,109,322,324,548,3073
,Morocco,31.7917,-7.0926,0,0,617,4423,7807,12533,24322
,Namibia,-22.9576,18.4904,0,0,11,16,24,205,2129
,Nepal,28.1667,84.25,1,1,5,57,1572,13564,19771
Aruba,Netherlands,12.5211,-69.9683,0,0,55,100,101,103,121
Curacao,Netherlands,12.1696,-68.99,0,0,11,16,19,23,29
Sint Maarten,Netherlands,18.0425,-63.0548,0,0,6,75,77,77,128
,Netherlands,52.1326,5.2913,0,6,12595,39316,46442,50273,54301
,New Zealand,-40.9006,174.886,0,1,647,1479,1504,1528,1562
,Nicaragua,12.865416,-85.207229,0,0,5,14,759,2519,3672
,Niger,17.607789,8.081666,0,0,27,719,958,1075,1134
,Nigeria,9.082,8.6753,0,1,135,1932,10162,25694,43151
,North Macedonia,41.6086,21.7453,0,1,329,1465,2226,6334,10754
,Norway,60.472,8.4689,0,15,4641,7738,8440,8879,9240
,Oman,21.512583,55.923255,0,6,192,2348,11437,40070,79159
,Pakistan,30.3753,69.3451,0,4,2118,18114,72460,213470,278305
,Panama,8.538,-80.7821,0,0,1181,6532,13463,33550,65256
,Papua New Guinea,-6.314993,143.95555,0,0,1,8,8,11,72
,Paraguay,-23.4425,-58.4438,0,0,65,266,986,2221,5338
,Peru,-9.19,-75.0152,0,0,1065,36976,164476,285213,407492
,Philippines,12.879721,121.774017,1,3,2084,8488,18086,37514,93354
,Poland,51.9194,19.1451,0,0,2311,12877,23786,34393,45688
,Portugal,39.3999,-8.2245,0,0,7443,25045,32500,42141,51072
,Qatar,25.3548,51.1839,0,1,781,13409,56910,96088,110695
,Romania,45.9432,24.9668,0,3,2245,12240,19257,26970,50886
,Russia,61.52401,105.318756,2,2,2337,106498,405843,646929,838461
,Rwanda,-1.9403,29.8739,0,0,75,243,370,1025,2022
,Saint Lucia,13.9094,-60.9789,0,0,13,17,18,19,25
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,1,16,26,29,54
,San Marino,43.9424,12.4578,0,1,236,569,671,698,699
,Saudi Arabia,23.885942,45.079162,0,0,1563,22753,85261,190823,275905
,Senegal,14.4974,-14.4524,0,0,175,933,3645,6793,10232
,Serbia,44.0165,21.0059,0,0,900,9009,11412,14564,25552
,Seychelles,-4.6796,55.492,0,0,10,11,11,81,114
,Singapore,1.2833,103.8333,13,102,926,16169,34884,43907,52205
,Slovakia,48.669,19.699,0,0,363,1396,1521,1667,2292
,Slovenia,46.1512,14.9955,0,0,802,1429,1473,1600,2156
,Somalia,5.152149,46.199616,0,0,5,601,1976,2924,3212
,South Africa,-30.5595,22.9375,0,0,1353,5647,32683,151209,493183
,Spain,40.463667,-3.74922,0,45,95923,213435,239479,249271,288522
,Sri Lanka,7.873054,80.771797,1,1,143,663,1633,2047,2815
,Sudan,12.8628,30.2176,0,0,7,442,5026,9257,11644
,Suriname,3.9193,-56.0278,0,0,9,10,23,515,1650
,Sweden,60.128161,18.643501,1,12,4435,21092,37542,68451,80422
,Switzerland,46.8182,8.2275,0,18,16605,29586,30862,31714,35232
,Taiwan*,23.7,121,10,39,322,429,442,447,467
,Tanzania,-6.369028,34.888822,0,0,19,480,509,509,509
,Thailand,15.870032,100.992541,19,42,1651,2954,3081,3171,3310
,Togo,8.6195,0.8248,0,0,34,116,442,650,941
,Trinidad and Tobago,10.6918,-61.2225,0,0,87,116,117,130,169
,Tunisia,33.886917,9.537499,0,0,394,994,1077,1174,1535
,Turkey,38.9637,35.2433,0,0,13531,120204,163942,199906,230873
,Uganda,1.373333,32.290275,0,0,44,83,417,889,1154
,Ukraine,48.3794,31.1656,0,0,645,10406,23672,45254,71404
,United Arab Emirates,23.424076,53.847818,4,21,664,12481,34557,48667,60506
Bermuda,United Kingdom,32.3078,-64.7505,0,0,32,114,140,146,156
Cayman Islands,United Kingdom,19.3133,-81.2546,0,0,14,73,141,200,203
Channel Islands,United Kingdom,49.3723,-2.3644,0,0,141,537,560,571,587
Gibraltar,United Kingdom,36.1408,-5.3536,0,0,69,144,170,177,187
Isle of Man,United Kingdom,54.2361,-4.5481,0,0,60,315,336,336,336
Montserrat,United Kingdom,16.742498,-62.187366,0,0,5,11,11,11,12
,United Kingdom,55.3781,-3.436,2,61,38484,177543,256145,283710,303181
,Uruguay,-32.5228,-55.7658,0,0,338,643,823,936,1264
,US,40,-100,7,24,188724,1072667,1799124,2636414,4562107
,Uzbekistan,41.377491,64.585262,0,0,172,2039,3623,8503,24009
,Venezuela,6.4238,-66.5897,0,0,135,333,1510,5832,18574
,Vietnam,14.058324,108.277199,2,16,212,270,328,355,558
,Zambia,-13.133897,27.849332,0,0,35,106,1057,1594,5963
,Zimbabwe,-19.015438,29.154857,0,0,8,40,178,591,3169
Diamond Princess,Canada,0,0,0,0,0,0,1,0,0
,Dominica,15.415,-61.371,0,0,12,16,16,18,18
,Grenada,12.1165,-61.679,0,0,9,20,23,23,24
,Mozambique,-18.665695,35.529562,0,0,8,76,254,889,1864
,Syria,34.802075,38.996815,0,0,10,43,122,279,757
,Timor-Leste,-8.874217,125.727539,0,0,1,24,24,24,24
,Belize,17.1899,-88.4976,0,0,3,18,18,24,48
,Laos,19.85627,102.495496,0,0,9,19,19,19,20
,Libya,26.3351,17.228331,0,0,10,61,156,824,3621
,West Bank and Gaza,31.9522,35.2332,0,0,119,344,448,2428,11837
,Guinea-Bissau,11.8037,-15.1804,0,0,8,205,1256,1654,1981
,Mali,17.570692,-3.996166,0,0,28,490,1265,2181,2535
,Saint Kitts and Nevis,17.357822,-62.782998,0,0,8,15,15,15,17
Northwest Territories,Canada,64.8255,-124.8457,0,0,1,5,5,5,5
Yukon,Canada,64.2823,-135,0,0,5,11,11,11,14
,Kosovo,42.602636,20.902977,0,0,106,799,1070,2799,8104
,Burma,21.9162,95.956,0,0,15,151,224,299,353
Anguilla,United Kingdom,18.2206,-63.0686,0,0,2,3,3,3,3
British Virgin Islands,United Kingdom,18.4207,-64.64,0,0,3,6,8,8,8
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,0,0,5,12,12,41,107
,MS Zaandam,0,0,0,0,2,9,9,9,9
,Botswana,-22.3285,24.6849,0,0,4,23,35,227,804
,Burundi,-3.3731,29.9189,0,0,2,11,63,170,387
,Sierra Leone,8.460555,-11.779889,0,0,1,124,861,1462,1823
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0,0,0,5,6,7,11
,Malawi,-13.2543,34.3015,0,0,0,37,284,1224,4078
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0,0,0,13,13,13,13
Saint Pierre and Miquelon,France,46.8852,-56.3159,0,0,0,1,1,1,4
,South Sudan,6.877,31.307,0,0,0,35,994,2007,2322
,Western Sahara,24.2155,-12.8858,0,0,0,6,9,10,10
,Sao Tome and Principe,0.1864,6.6131,0,0,0,14,483,714,871
,Yemen,15.552727,48.516388,0,0,0,6,323,1158,1728
,Comoros,-11.6455,43.3333,0,0,0,1,106,303,378
,Tajikistan,38.861,71.2761,0,0,0,15,3930,5900,7409
,Lesotho,-29.61,28.2336,0,0,0,0,2,27,604
